Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-12-22 08:42:57,false,"Stryiskyi raion - Base","9.65","658","00:58:17","134","153","2.9","164","175","6:02","4:50","17","24","1.01","0.0","0.0","0","6:04","0","0","271","0.0","271","473","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:19.25","10","0.0","00:58:13","01:14:43","295","314"
Running,2022-12-20 10:00:39,false,"Lviv - Base","9.55","718","00:54:33","155","176","3.8","168","188","5:43","4:34","64","58","1.04","0.0","0.0","0","5:41","0","0","294","0.0","292","415","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:07.90.3","11","0.0","00:54:29","00:54:45","328","357"
Running,2022-12-13 08:35:36,false,"Lviv Running","7.93","545","00:50:23","141","186","3.0","166","189","6:21","3:47","28","24","0.95","0.0","0.0","0","6:23","0","0","271","0.0","259","444","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:50.28.4","9","0.0","00:50:21","00:50:25","331","342"
Running,2022-12-11 09:20:23,false,"Lviv Running","4.50","326","00:33:48","134","151","2.1","159","174","7:31","5:20","54","50","0.84","0.0","0.0","0","7:23","0","0","236","0.0","231","325","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:36.84.1","5","0.0","00:33:46","00:33:48","296","348"
Running,2022-12-08 07:57:38,false,"Lviv Running","6.66","489","00:46:35","140","180","2.7","159","170","6:59","5:49","84","78","0.90","0.0","0.0","0","6:49","0","0","251","0.0","247","349","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:24.71.3","7","0.0","00:46:33","00:46:35","300","350"
Running,2022-12-06 09:59:29,false,"Lviv Running","3.06","212","00:17:59","142","159","2.3","166","174","5:53","5:30","14","20","1.03","0.0","0.0","0","5:54","0","0","277","0.0","274","370","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:20.92.4","4","0.0","00:17:57","00:17:59","332","353"
Running,2022-12-06 09:21:47,false,"Lviv Running","2.93","202","00:18:00","134","147","2.1","165","228","6:09","5:47","22","12","0.99","0.0","0.0","0","6:04","0","0","296","0.0","294","387","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:28.82.8","3","0.0","00:17:59","00:23:38","331","355"
Running,2022-11-30 08:19:30,false,"Lviv Running","5.46","399","00:33:02","145","169","2.9","161","175","6:03","4:16","71","66","1.03","0.0","0.0","0","5:57","0","0","287","0.0","284","421","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:00.70.7","6","0.0","00:33:01","00:33:02","292","349"
Running,2022-11-26 12:16:31,false,"Lviv Running","8.07","595","00:52:43","140","158","2.9","159","180","6:32","4:41","122","120","0.96","0.0","0.0","0","6:22","0","0","272","0.0","268","390","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.43.4","10","0.0","00:52:40","00:52:43","295","354"
Running,2022-11-15 13:06:21,false,"Lviv Running","6.09","428","00:38:10","136","154","2.7","162","174","6:16","4:54","71","69","0.99","0.0","0.0","0","6:12","0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:27.62.5","7","0.0","00:37:03","00:38:10","285","345"
Running,2022-10-29 13:21:03,false,"Lviv Running","4.64","342","00:24:31","156","181","3.4","164","186","5:17","3:53","19","17","1.16","0.0","0.0","0","5:20","0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:27.36.1","9","0.0","00:24:29","00:25:23","335","341"
Running,2022-10-26 16:41:56,false,"Lviv - Base","9.09","714","00:54:52","151","178","3.3","167","211","6:02","2:55","107","103","0.99","0.0","0.0","0","5:43","0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:58.71","10","0.0","00:53:46","01:26:09","357","389"
Running,2022-10-14 16:35:40,false,"Kyiv Running","5.27","354","00:32:36","123","144","2.4","165","178","6:11","4:50","56","53","0.98","0.0","0.0","0","6:11","0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:39.39","6","0.0","00:32:34","00:36:09","148","172"
Running,2022-10-13 10:35:25,false,"Kyiv Running","7.01","470","00:41:29","131","152","3.0","168","209","5:55","1:55","59","43","1.00","0.0","0.0","0","5:53","0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.60","8","0.0","00:41:26","00:47:00","151","172"
Running,2022-10-07 11:58:32,false,"Lviv Running","5.62","395","00:32:33","139","151","2.8","166","233","5:47","5:15","15","15","1.04","0.0","0.0","0","5:50","0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:29.90.6","6","0.0","00:32:32","00:32:33","336","341"
Running,2022-10-04 11:58:40,false,"Lviv - Base","6.92","472","00:38:58","143","158","3.0","166","176","5:38","4:46","18","16","1.07","0.0","0.0","0","5:42","0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:16.80.1","8","0.0","00:38:55","00:38:58","335","339"
Running,2022-09-30 12:01:02,false,"Lviv Running","5.66","375","00:30:56","137","161","2.8","168","178","5:28","4:57","11","10","1.09","0.0","0.0","0","5:30","0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:24.53.5","6","0.0","00:30:54","00:30:56","340","343"
Running,2022-09-27 12:04:30,false,"Lviv - Base","6.39","429","00:35:35","139","153","3.0","167","178","5:34","4:45","20","19","1.08","0.0","0.0","0","5:37","0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:33.42.8","8","0.0","00:35:30","00:45:19","340","344"
Running,2022-09-20 08:44:29,false,"Lviv - Threshold","7.76","535","00:37:28","154","176","4.0","174","189","4:50","3:51","17","15","1.19","0.0","0.0","0","4:53","0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:28.44.6","9","0.0","00:37:23","00:46:59","341","346"
Running,2022-09-17 10:01:48,false,"Lviv - Base","13.21","912","01:12:31","144","154","3.7","164","176","5:29","4:37","43","41","1.11","0.0","0.0","0","5:31","0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:31.71","14","0.0","01:12:28","01:13:40","340","344"
Running,2022-09-15 12:42:49,false,"Lviv - Base","6.07","398","00:31:50","144","154","2.9","163","172","5:15","4:37","13","11","1.17","0.0","0.0","0","5:33","0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:50.20.5","7","0.0","00:31:47","00:52:44","337","343"
Running,2022-09-13 13:27:11,false,"Lviv - Threshold","9.52","639","00:46:11","151","181","4.2","170","182","4:51","3:45","41","37","1.21","0.0","0.0","0","4:55","0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:11.13.9","11","0.0","00:46:08","00:59:49","341","345"
Running,2022-09-11 12:18:59,false,"Lviv Running","7.16","506","00:42:16","139","157","3.1","157","171","5:54","4:49","24","21","1.08","0.0","0.0","0","5:57","0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:52.50.8","8","0.0","00:42:13","00:55:22","341","347"
Running,2022-09-02 10:04:21,false,"Kyiv - W01D4-Steady Run","7.12","497","00:38:22","143","160","3.1","163","174","5:23","2:51","32","32","1.14","0.0","0.0","0","5:24","0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:38.88.4","9","0.0","00:00:00","00:57:51","182","187"
Running,2022-08-31 11:46:17,false,"Kyiv - W01D2-Easy Run","5.03","344","00:31:03","134","151","3.2","161","170","6:10","5:24","18","15","1.01","0.0","0.0","0","6:12","0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.13.8","7","0.0","00:00:00","00:59:54","182","188"
Running,2022-08-28 17:15:40,false,"Volovetskyi raion Running","3.12","233","00:19:00","144","166","2.5","163","174","6:06","3:50","40","48","1.00","0.0","0.0","0","6:04","0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:37.43.3","4","0.0","00:00:00","00:19:55","486","526"
Running,2022-08-28 08:18:37,false,"Mizhhirskyi raion - W03D7-Long Run","15.28","1,533","02:10:34","153","172","4.6","137","241","8:33","4:02","944","925","0.83","0.0","0.0","0","6:25","0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:03.05.7","16","0.0","00:00:00","02:26:29","841","1,654"
Running,2022-08-25 10:55:55,false,"Lviv - W03D4-Recovery Run","2.15","144","00:11:30","139","166","2.2","166","174","5:21","4:19","12","9","1.12","0.0","0.0","0","5:26","0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","00:37.36.1","3","0.0","00:11:28","00:11:30","329","337"
Running,2022-08-14 07:07:24,false,"Lviv - W01D7-Long Run","2.61","175","00:16:09","127","136","1.8","160","174","6:11","5:25","12","15","1.01","0.0","0.0","0","6:18","0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","22.0","0:00","No","03:42.21.2","3","0.0","00:16:08","00:18:14","325","338"
Running,2022-08-13 10:44:42,false,"Lviv - W01D6-Fartlek Run","9.51","654","00:53:43","144","169","3.4","166","191","5:39","4:15","57","58","1.06","0.0","0.0","0","5:41","0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","24.0","0:00","No","00:07.06.1","12","0.0","00:53:40","01:18:35","319","335"
Running,2022-08-11 13:52:00,false,"Skolivskyi raion Running","40.00","2,934","05:12:27","137","169","4.4","140","249","7:49","3:56","1,507","1,530","0.90","0.0","0.0","0","6:53","0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","16.0","0:00","No","00:08.32.6","41","0.0","05:11:49","06:10:29","572","1,272"
Running,2022-08-09 14:26:26,false,"Skolivskyi raion - W01D2-Easy Run","26.02","2,139","03:02:06","155","173","5.0","151","249","7:00","3:28","1,224","1,190","0.93","0.0","0.0","0","5:48","0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","19.0","0:00","No","02:22.95.1","27","0.0","03:01:24","03:19:32","575","1,230"
Running,2022-08-07 09:27:30,false,"Lviv - Negative Split Run","7.75","529","00:46:51","135","169","3.2","160","192","6:03","4:31","47","43","1.03","0.0","0.0","0","6:05","0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","21.0","0:00","No","00:08.43","10","0.0","00:46:48","00:48:03","319","336"
Running,2022-08-06 09:09:07,false,"Lviv - Benchmark Run","7.08","494","00:45:42","140","157","3.5","163","174","6:27","5:16","41","43","0.95","0.0","0.0","0","6:29","0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","27.0","0:00","No","02:00.00","9","0.0","00:45:37","01:11:43","321","336"
